	WORD	RATING
447891	Raxit	1.819
110544	Cleverly	0.9009999999999999
760691	MRTI	1.995
1884687	robbed_Kerkowski	3.748
1842385	Sapp_Bros	3.8569999999999998
506445	aj	2.76
1438619	VitalSuite_R	2.425
1072404	Dollive	4.668
707790	Midcontinent_Express_Pipeline	4.808
815303	Michigamme	4.985
1638769	Lesslee_Mason_Cox	4.585
195800	piano_concerto	6.452000000000001
1316953	Congaree_Vista	3.858
1010880	gan_y	3.582
1327559	artificial_sweeteners_preservatives	4.207
418332	Charles_Dutoit	2.559
802399	rhyming_verse	2.886
2112471	VWS.CO	3.372
1268705	Hagstette	3.029
1160212	By_PETER_SCHELDEN	1.8519999999999999
942376	Carlos_Huertas	3.824
1057966	Hanberg	4.16
801988	David_Broza	5.002
72037	Mackintosh	5.487
33248	Victoria_Beckham	5.932
1248315	Humberline_Dr.	4.54
1316851	Charlie_Szews	3.168
1971900	Al_Shefsky_President	4.1160000000000005
2082535	Cristian_Jimenez	3.9139999999999997
2111744	gleamed_darkly	2.031
1706206	Jon_Zlock	1.55
11151	retaining	1.213
579406	picadillo	5.857
1915952	Julia_Belluz	3.438
1107332	Exemption_TUE	0.917
1875702	J._Renninger_Updated	3.6830000000000003
1508065	PacRep_Theatre	3.7739999999999996
1281002	PHILADELPHIA_PENNSYLVANIA	2.46
186116	Drover	3.7439999999999998
512213	eggs_hash_browns	5.563
336000	Naïve	0.728
1284770	----------------------------------------------------------_St.	3.602
2115108	Tuuli_Shipster	3.878
1751298	Sue_Paish	2.758
763531	carambola	6.291
1985611	Dynavisions_Schweiz_AG	2.154
1878230	treasurer_Fletcher_Dulini	3.33
122060	boob_job	6.791
1521438	Parents_pbsparents.org_PBS	2.8369999999999997
1140048	MIX_FM	3.983
1092398	Hiding_Behind	2.559
1138799	Cech_Ferreira	2.83
1596700	Noam_Chomsky_TomDispatch	3.095
969550	MSI_GT###	5.162999999999999
558943	Ne5	2.501
79232	boob	7.337000000000001
1069776	CUMO	1.886
2049076	Florence_Cassez_Crepin	3.812
359481	Kraft_Macaroni_&	6.579
896713	Ole_Gunnar	2.351
989261	Wiehle	2.565
2063685	campylobacter_diarrhea_causing	3.5410000000000004
1580072	Hansen_SWE	3.7739999999999996
634928	Norweigian	4.385
84557	Javon_Walker	4.784
474482	Klaers	5.816
1929397	Jamie_Kempster	3.093
1252094	Victor_Horta	4.039
1825484	Minority_Concentration	1.547
546510	OPEN_THIS_PAGE	3.148
391101	Foraging	3.7289999999999996
68545	Bear_Bryant	5.0280000000000005
595649	Michael_Trucco	4.562
1567292	Cleary_Christopher_Walken	1.607
1936620	OASIS_Standards	2.293
1650862	BDF_Newlife	3.22
310230	LOS_ALTOS_Calif.	3.64
964567	Marc_Friedland	5.432
950439	Baby_Boom_Generation	2.639
2142237	EBITDAX_**	3.653
1432352	manager_Darlene_Baboo	3.889
1305761	BARCELONA_Barcelona	2.295
1091370	riverside_promenade	5.792999999999999
2146624	islamonline.net	2.197
1817277	Cluster_Shared	1.368
100007	bebop	3.0189999999999997
1577387	Gir_Wildlife_Sanctuary	3.946
661028	Missett	1.875
2146104	Camaro_Bumblebee	3.965
2031893	Ingram_MotorSports	3.806
694346	Toss_gently	5.28
1052722	CALPADS	2.443
1662621	Dyllan_Crowley	3.177
2100487	diversional_therapy	1.787
1846581	presbyterian_church	2.7489999999999997
2065090	Shigeyuki_Kihara	3.292
1953418	Jeffrey_Kaneb	2.155
506226	iCONECT	2.9989999999999997
1378980	St._Germain_elderflower	3.616
1511153	NGM_Insurance	2.174
1051548	Syblis	5.292000000000001
80627	Brookstone	5.381
2080297	Binh_Diep	2.635
2022720	cutest_sweetest	3.701
2042486	Hyla_Brook	3.813
744141	Rh_negative	3.784
2022296	Dick_Advocaat_Zenit_St	4.779
1464855	Winona_Ryder_Brandon_Routh	3.542
1013312	student_Philip_Markoff	5.542000000000001
1286472	Summa_Strategies	2.186
198704	Premier_Nathan_Rees	6.218999999999999
1242525	LORRAINE_LUK	2.5989999999999998
1784303	###NX	3.2510000000000003
323639	doublewide	7.357
614993	Massett	5.577999999999999
1206996	www.commtouch.com	4.32
1053260	Dmitrij	3.65
1734934	Bromborough_Pool	3.864
170880	Jesse_Winchester	5.694
1666273	e_Mobin	3.722
276352	wharfs	7.005
1169031	Cashiering	1.6680000000000001
237044	CERP	2.8160000000000003
921402	Bernard_Nathanson	3.863
1754473	goalie_Levente_Szuper	3.928
401793	hw	2.298
1834153	Lurgan_Mail	4.262
2001729	Dr._Yefim_Sheynkin	1.893
1584114	Astrum_Online	2.738
2110750	Shivhon	2.8369999999999997
1582814	frighten_Westergaard	3.904
5767	viewing	3.97
320616	Helenius	6.127000000000001
198918	Dozer	6.23
487071	Banten_province	5.407
126555	Ramsdell	3.1630000000000003
1207529	Should_Apologize	2.611
1693305	Banff_Mineral	3.3310000000000004
1488437	producer_Andy_Vajna	4.373
191777	Esper	3.219
121090	homebrew	4.593999999999999
1861257	FELL_OFF	3.384
116744	torrential	2.421
231284	zoo_keepers	5.885
995745	valiantly_fought	3.795
98385	Kalashnikovs	5.831
1247683	Renault_#:##:##.###	2.641
1916317	Akhilesh_Reddy	3.717
1958371	GL_Biochem_Shanghai	3.583
1472072	Menstrual_Blood	3.283
1767525	CMC_Ludhiana	1.534
693183	goalkeeper_Mark_Bosnich	5.693
1182275	Envirotainer	4.481
2155329	Brietta_Schluender	2.6430000000000002
1818267	ForRent.com_™	3.674
98781	alcove	7.058
1559287	Tanny_Price	3.5039999999999996
622733	IG_Sindh	2.176
1739085	KLRU_Austin	2.109
521310	FOIA_exemptions	2.247
1672668	Chiyohakuho	3.6239999999999997
960672	cubers	5.734
73117	Dennis_Hopper	3.217
327900	SnapLogic	3.346
1818312	Chronobiology_Laboratory	3.236
49540	Deepwater_Horizon_rig	4.271
1683923	HearthSong_R	3.62
2012359	Alberta_Saline_Aquifer	2.9130000000000003
189806	Jonathan_Crompton	4.42
1493297	entrepreneur_Damon_Dash	3.3789999999999996
1403824	Majlis_Ugama_Islam	1.814
2162896	fils_KWh	2.891
972720	Simpsons_Treehouse	4.032
808313	acetaminophen_poisoning	2.597
269192	Rick_Dutrow	4.463
1344821	Soejanto	3.891
999496	Iron_Condor	3.1830000000000003
559877	slapsticky	1.4709999999999999
675078	Morvay	2.414
1022747	REVIVED	2.084
699411	Con_Alma	2.181
1109234	CSCD	3.417
715027	Herbert_Bautista	2.654
1124302	FlexRig	2.761
1851658	hangdog_demeanor	2.176
2027727	Evergreen_Exhibitions	3.8
1297450	Arctic_Cat_Prowler	4.043
1086580	NIGHT_FOR	3.903
226857	CPLP	1.348
2018468	YOKOSUKA_Kanagawa	3.3689999999999998
